('152', '记忆碎片', '美国', '2000', '克里斯托弗·诺兰 Christopher Nolan')
('153', '心迷宫', '中国大陆', '2014', '忻钰坤 Yukun Xin')
('154', '纵横四海', '香港', '1991', '吴宇森 John Woo')
('155', '教父3', '美国', '1990', '弗朗西斯·福特·科波拉 Francis Ford Coppola')
('156', '荒蛮故事', '阿根廷 西班牙', '2014', '达米安·斯兹弗隆 Damián Szifron')
('157', '完美的世界', '美国', '1993', '克林特·伊斯特伍德 Clint Eastwood')
('158', '达拉斯买家俱乐部', '美国', '2013', '让-马克·瓦雷 Jean-Marc Vallée')
('159', '雨人', '美国', '1988', '巴瑞·莱文森 Barry Levinson')
('160', '花样年华', '香港', '2000', '王家卫 Kar Wai Wong')
('161', '三块广告牌', '美国 英国', '2017', '马丁·麦克唐纳 Martin McDonagh')
('162', '被解救的姜戈', '美国', '2012', '昆汀·塔伦蒂诺 Quentin Tarantino')
('163', '卢旺达饭店', '英国 南非 意大利 美国', '2004', '特瑞·乔治 Terry George')
('164', '海边的曼彻斯特', '美国', '2016', '肯尼斯·罗纳根 Kenneth Lonergan')
('165', '你的名字。', '日本', '2016', '新海诚 Makoto Shinkai')
('166', '头脑特工队', '美国', '2015', '彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen')
('167', '你看起来好像很好吃', '日本', '2010', '藤森雅也 Masaya Fujimori')
('168', '我是山姆', '美国', '2001', '杰茜·尼尔森 Jessie Nelson')
('169', '恋恋笔记本', '美国', '2004', '尼克·卡索维茨 Nick Cassavetes')
('170', '无敌破坏王', '美国', '2012', '瑞奇·莫尔 Rich Moore')
('171', '虎口脱险', '法国 英国', '1966', '杰拉尔·乌里 Gérard Oury')
('172', '冰川时代', '美国', '2002', '卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge')
('173', '二十二', '中国大陆', '2015', '郭柯 Ke Guo')
('174', '海洋', '法国 瑞士 西班牙 美国 阿联酋', '2009', '雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud')
('175', '哪吒闹海', '中国大陆', '1979', '严定宪 Dingxian Yan / 王树忱 Shuchen Wang')
('176', '雨中曲', '美国', '1952', '斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly')
('177', '爆裂鼓手', '美国', '2014', '达米恩·查泽雷 Damien Chazelle')
('178', '未麻的部屋', '日本', '1997', '今敏 Satoshi Kon')
('179', '模仿游戏', '英国 美国', '2014', '莫滕·泰杜姆 Morten Tyldum')
('180', '一个叫欧维的男人决定去死', '瑞典', '2015', '汉内斯·赫尔姆 Hannes Holm')
('181', '燃情岁月', '美国', '1994', '爱德华·兹威克 Edward Zwick')
('182', '忠犬八公物语', '日本', '1987', 'Seijirô Kôyama')
('183', '人工智能', '美国', '2001', '史蒂文·斯皮尔伯格 Steven Spielberg')
('184', '魔女宅急便', '日本', '1989', '宫崎骏 Hayao Miyazaki')
('185', '房间', '爱尔兰 加拿大 英国 美国', '2015', '伦尼·阿伯拉罕森 Lenny Abrahamson')
('186', '穿越时空的少女', '日本', '2006', '细田守 Mamoru Hosoda')
('187', '魂断蓝桥', '美国', '1940', '茂文·勒鲁瓦 Mervyn LeRoy')
('188', '天书奇谭', '中国大陆', '1983(中国大陆) / 2019(中国大陆重映)', '王树忱 Shuchen Wang / 钱运达 Yunda Qian')
('189', '恐怖游轮', '英国 澳大利亚', '2009', '克里斯托弗·史密斯 Christopher Smith')
('190', '海街日记', '日本', '2015', '是枝裕和 Hirokazu Koreeda')
('191', '黑客帝国3：矩阵革命', '美国 澳大利亚', '2003', 'Andy Wachowski / Larry Wachowski')
('192', '猜火车', '英国', '1996', '丹尼·博伊尔 Danny Boyle')
('193', '完美陌生人', '意大利', '2016', '保罗·格诺维瑟 Paolo Genovese')
('194', '罗生门', '日本', '1950', '黑泽明 Akira Kurosawa')
('195', '阿飞正传', '香港', '1990', '王家卫 Kar Wai Wong')
('196', '香水', '德国 法国 西班牙 美国', '2006', '汤姆·提克威 Tom Tykwer')
('197', '可可西里', '中国大陆 香港', '2004', '陆川 Chuan Lu')
('198', '朗读者', '美国 德国', '2008', '史蒂芬·戴德利 Stephen Daldry')
('199', '头号玩家', '美国', '2018', '史蒂文·斯皮尔伯格 Steven Spielberg')
('200', '浪潮', '德国', '2008', '丹尼斯·甘塞尔 Dennis Gansel')
('201', '谍影重重2', '美国 德国', '2004', ('保罗·格林格拉斯 Paul Greengrass', ''))
('202', '谍影重重', '美国 德国 捷克', '2002', ('道格·里曼 Doug Liman', ''))
('203', '牯岭街少年杀人事件', '台湾', '1991', ('杨德昌 Edward Yang', ''))
('204', '功夫', '中国大陆 香港', '2004', ('周星驰 Stephen Chow', ''))
('205', '战争之王', '美国 法国', '2005', ('安德鲁·尼科尔 Andrew Niccol', ''))
